rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
30,spotify:track:6auT8cRBu3BgPRBrdVBY15,Lim Young Woong,London Boy,물고기뮤직,6,28,98,98505,6auT8cRBu3BgPRBrdVBY15
31,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,3,29,60,98250,2N0SPREDYqILVEFSsWF5N5
32,spotify:track:6je5cTal6PyeITNrOzkCoS,DAY6,Welcome to the Show,JYP Entertainment,30,30,29,97088,6je5cTal6PyeITNrOzkCoS
33,spotify:track:1MC8JLPV4fbvVBqvGSLoDf,Jimin,Who (Rock Remix),BIGHIT MUSIC,25,37,11,96739,1MC8JLPV4fbvVBqvGSLoDf
34,spotify:track:18x0Z8JUwLA2LhgsIHbNy3,DAY6,한 페이지가 될 수 있게,JYP Entertainment,34,34,97,94868,18x0Z8JUwLA2LhgsIHbNy3
35,spotify:track:10I5rhhFoWZDIN3kEc6Dbo,Jimin,Who (Acoustic Remix),BIGHIT MUSIC,27,38,11,94503,10I5rhhFoWZDIN3kEc6Dbo
36,spotify:track:1Px44tw80Q4rcCl8FxDGOi,Jimin,Who (Instrumental),BIGHIT MUSIC,30,41,11,91331,1Px44tw80Q4rcCl8FxDGOi
37,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,24,80,90383,3Ua0m0YmEjrMi9XErKcNiR
38,spotify:track:1ySWoGgrduSzvtJ3PUzO41,Jimin,Who (Shibuyakei Remix),BIGHIT MUSIC,29,42,11,90205,1ySWoGgrduSzvtJ3PUzO41
39,spotify:track:6i8MbzVn4nzyjUcSoVcz7B,aespa,Armageddon,SM Entertainment,5,32,19,89960,6i8MbzVn4nzyjUcSoVcz7B
40,spotify:track:2isRbZIIU4PqPrECffn7QO,Jimin,Who (Beautiful Mind Remix),BIGHIT MUSIC,31,43,11,89787,2isRbZIIU4PqPrECffn7QO
41,spotify:track:74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,SOURCE MUSIC,10,33,49,89674,74X2u8JMVooG2QbjRxXwR8
42,spotify:track:7KZNgri6Jxw88FAfATw6i9,Jimin,Who (Funky Remix),BIGHIT MUSIC,28,45,11,89247,7KZNgri6Jxw88FAfATw6i9
43,spotify:track:3FR2yqZsG07NhXz7uPyUyC,DAY6,예뻤어,JYP Entertainment,40,40,89,82333,3FR2yqZsG07NhXz7uPyUyC
44,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,13,36,25,82016,2HRqTpkrJO5ggZyyK6NPWz
45,spotify:track:3TQHPUEVdvdq8ejwEcHUlL,Nerd Connection,If I have you only (My love X Nerd Connection),TOON STUDIO,41,47,47,81921,3TQHPUEVdvdq8ejwEcHUlL
46,spotify:track:2tA3NP12r4niSRhb9Y6AoY,Lim Young Woong,Polaroid,물고기뮤직,10,39,98,81577,2tA3NP12r4niSRhb9Y6AoY
47,spotify:track:2RLdkXSaiQjRbey5pvP8Kt,Lim Young Woong,If We Ever Meet Again,물고기뮤직,5,46,126,76392,2RLdkXSaiQjRbey5pvP8Kt
48,spotify:track:39gaUtq2z4ejJbno7tWHbL,QWER,T.B.H,TAMAGO PRODUCTION,11,57,27,74752,39gaUtq2z4ejJbno7tWHbL
49,spotify:track:0QzuaeCEEOV40Pn7IvKEny,Dhruv,double take,Little Worry/RCA Records,49,49,172,74147,0QzuaeCEEOV40Pn7IvKEny
50,spotify:track:1AtFSBJibfaqfiOByQCwZ5,"Lee Young Ji, D.O.",Small girl (feat. D.O.),MAINSTREAM,6,44,15,73916,1AtFSBJibfaqfiOByQCwZ5
51,spotify:track:1zJUr9Oo5zEjvJrdlg67jQ,NCT WISH,Steady,SM Entertainment,51,130,2,71565,1zJUr9Oo5zEjvJrdlg67jQ
52,spotify:track:19D8LNpWwIPpi6hs9BG7dq,NewJeans,Bubble Gum,ADOR,4,48,19,71553,19D8LNpWwIPpi6hs9BG7dq
53,spotify:track:6pqyZNnLKyJKtrlf42FQoq,BOYNEXTDOOR,Nice Guy,KOZ Entertainment,35,35,4,70161,6pqyZNnLKyJKtrlf42FQoq
54,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,1,55,94,69410,3r8RuvgbX9s7ammBn07D3W
55,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,30,53,6,68792,5G2f63n7IPVPPjfNIGih7Q
56,spotify:track:1YXot2MLAG9sttepCtBRM7,Vaundy,odoriko,SDR Inc.,18,52,39,68714,1YXot2MLAG9sttepCtBRM7
57,spotify:track:0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,ADOR,1,54,114,68610,0a4MMyCrzT0En247IhqZbD
58,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,24,58,69,68187,1BxfuPKGuaTgP7aM0Bbdwr
